scaffold	prediction
GCA_001047395___contig_3_fragment_5	organism
GCA_001047395___contig_3_fragment_6	virus
GCA_001047595___contig_12	organism
GCA_025728615___contig_16	organism
GCA_025728635___contig_21	virus
GCA_001047525___contig_2	plasmid
MP_BCQMy223___contig_3	virus
GCA_001047395___contig_1	virus
MP_BCQMy225___contig_3	virus
GCA_025728695___contig_140	virus
GCA_001047555___contig_6_fragment_3	organism
GCA_025728645___contig_11_fragment_1	virus
GCA_025728695___contig_71_fragment_1	organism
GCA_025728595___contig_1_fragment_2	virus
GCA_001047515___contig_16_fragment_1	organism
GCA_001047515___contig_16_fragment_2	organism
GCA_001047515___contig_16_fragment_3	organism
MP_BCQMy223___contig_1_fragment_3	virus
MP_BCQMy223___contig_1_fragment_4	organism
MP_BCQMy223___contig_1_fragment_5	virus
MP_BCQMy223___contig_1_fragment_8	organism
MP_BCQMy223___contig_1_fragment_11	virus
MP_BCQMy223___contig_1_fragment_12	virus
MP_BCQMy223___contig_1_fragment_14	virus
MP_BCQMy223___contig_1_fragment_15	organism
MP_ONT143___contig_1_fragment_1	virus
MP_ONT143___contig_1_fragment_4	virus
MP_ONT143___contig_1_fragment_7	organism
MP_ONT143___contig_1_fragment_12	virus
MP_ONT143___contig_1_fragment_13	organism
MP_ONT143___contig_1_fragment_14	virus
MP_ONT143___contig_1_fragment_15	organism
GCA_004001205___contig_2_fragment_3	organism
GCA_001047445___contig_7_fragment_1	organism
GCA_001047445___contig_7_fragment_2	organism
GCA_001047445___contig_7_fragment_3	organism
GCA_001047445___contig_7_fragment_5	virus
GCA_001047445___contig_7_fragment_6	virus
GCA_001047465___contig_10_fragment_1	virus
GCA_014202715___contig_5_fragment_3	organism
GCA_025728635___contig_19_fragment_1	virus
GCA_004001225___contig_1_fragment_3	organism
GCA_004001225___contig_1_fragment_5	organism
GCA_004001225___contig_1_fragment_6	virus
GCA_004001225___contig_1_fragment_7	organism
GCA_004001225___contig_1_fragment_9	virus
GCA_004001225___contig_1_fragment_10	organism
GCA_004001225___contig_1_fragment_12	organism
GCA_004001225___contig_1_fragment_13	organism
GCA_001047445___contig_8_fragment_1	organism
GCA_001047445___contig_8_fragment_3	virus
GCA_025728695___contig_154	virus
GCA_025728695___contig_133	virus
GCA_001047405___contig_1	virus
GCA_001047595___contig_1	organism
GCA_025728695___contig_4	virus
GCA_025728635___contig_43_fragment_2	organism
GCA_001047435___contig_3_fragment_1	organism
GCA_001047435___contig_3_fragment_4	organism
GCA_000270185___contig_1_fragment_5	organism
GCA_000270185___contig_1_fragment_8	organism
GCA_000270185___contig_1_fragment_12	virus
GCA_000270185___contig_1_fragment_13	virus
GCA_000270185___contig_1_fragment_14	organism
GCA_000270185___contig_1_fragment_15	organism
GCA_000270185___contig_1_fragment_16	organism
GCA_000270185___contig_1_fragment_17	organism
MP_BCQMy206___contig_2_fragment_2	organism
MP_ONT81___contig_2_fragment_2	organism
GCA_000747585___contig_2_fragment_3	organism
GCA_001047405___contig_3_fragment_3	organism
GCA_001047405___contig_3_fragment_6	organism
GCA_001047405___contig_3_fragment_7	virus
GCA_001047405___contig_3_fragment_8	organism
GCA_025728595___contig_9_fragment_1	organism
GCA_025728615___contig_3_fragment_1	virus
GCA_025728595___contig_45_fragment_2	organism
MP_ONT231___contig_1_fragment_1	virus
MP_ONT231___contig_1_fragment_4	organism
MP_ONT231___contig_1_fragment_7	virus
MP_ONT231___contig_1_fragment_9	virus
MP_ONT231___contig_1_fragment_10	organism
MP_ONT231___contig_1_fragment_11	virus
MP_ONT231___contig_1_fragment_12	organism
